"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"The Rock Wood Fired Kitchen","The focal point at this rock-and-roll-inspired restaurant is a giant brick exhibition oven designated for cooking signature wood-fired pizzas that anchor its menu. In some locales, the casual-dining concept is called Rock Wood Fired Pizza & Spirits, though all locations serve alcohol in addition to the pub-style fare. Most units are located in the Northwest and Colorado, and The Rock has plans to develop 20 more stores by 2020, according to its website.","Sumner, Wash.",4.7e+07,15.2,21,23.5,2500000,2015,"Yes"
"Jimmy’s Egg","Breakfast tacos, along with the expected breakfast-lunch fare—French toast, create-your-own omelets, burgers, sandwiches and salads—make up the menu at this emerging chain. Jimmy’s Egg competes in the family-dining space with players such as IHOP, Denny’s and Waffle House, but is exceeding those more established chains in sales growth as it concentrates its expansion in Texas, Oklahoma, Missouri and the surrounding states. A recent promotion featured lighter items.","Edmond, Okla.",27900000,14.6,40,11.1,741000,2015,"Yes"
"Showmars","Made-to-order burgers on pita breads are the specialty here. Showmars opened in 1982 with the goal of combining counter ordering with more formal waiter service—a forerunner to today’s fast-casual models. The restaurants serve breakfast, lunch and dinner in a family-friendly atmosphere.","Charlotte, N.C.",30500000,13,33,37.5,1100000,2015,"No"
"Russo’s New York Pizzeria","Russo’s builds out two prototypes—full-size units in suburban malls and smaller express units in food courts and nontraditional spaces. This year the chain announced it would be expanding to Europe. In 2008, Russo’s created a sister concept called Russo’s Coal-Fired Italian Kitchen, which also is part of the company’s franchising portfolio. The menu goes beyond pizza, offering a wide selection of authentic and contemporary Italian dishes.",NA,31100000,12.7,36,12.5,915000,2015,"Yes"
"Iron Hill Brewery & Restaurant","Iron Hill features a rotating list of handcrafted beers and specialty brews and a varied culinary-driven menu. With an average check of $25.75, the casual-dining concept is on the upscale end of the brewhouse segment, which includes the likes of Yard House and BJ’s Restaurants. Units of this emerging regional chain are currently located in Delaware and Pennsylvania.","Wilmington, Del.",3e+07,12.4,11,10,2900000,2015,"No"
" Bono’s Pit Bar-B-Q","This midscale chain offers Southern-style barbecue finished in a live pit. The smoked meats are served family-style on platters. All the restaurants are freestanding, designed to resemble barbecue shacks, with interiors that boast a down-home country look and feel. Branded sauces and merchandise are sold online. Bono’s also operates a fast-casual spinoff, Willie Jewell’s Old School Bar-B-Q.","Jacksonville, Fla.",30300000,11.8,22,15.8,1500000,2015,"Yes"
"Hale and Hearty Soups","When Hale and Hearty began in 1995, only soups were on the menu—all made from scratch daily in a more than a dozen varieties. Sandwiches and salads were added in 1998, and now the concept positions itself squarely in the healthy fast-casual space. Soup-and-sandwich combos are best-sellers during the high-traffic lunch daypart. Units reside mostly in busy urban areas with expansion limited to New York state until earlier this year, when a store opened in Boston.",NA,27700000,11.7,33,13.8,895000,2015,"No"
"Native Grill & Wings","In 2014, Native New Yorker officially changed its name to Native Grill & Wings to reinforce the chain’s signature: its 19 flavors of chicken wings. However, the sports grill offers more than wings; flatbreads, sandwiches, salads and fish platters also are available on the extensive menu. The chain recently has expanded from its Arizona roots to Colorado and Texas and has launched a special-events food truck.","Gilbert, Ariz.",43700000,11.5,31,19.2,1500000,2015,"Yes"
"Leo’s Coney Island","Focusing its growth in Michigan, this family-style chain is about evenly divided between company-owned and franchised units. The restaurants are on the small side, seating between 50 and 100 guests for breakfast, lunch and dinner, where they can order its namesake Coney Island-style hot dogs, along with everything from Greek moussaka to stir-fries.","Birmingham, Mich.",30400000,11.4,54,22.7,620000,2015,"Yes"
"Another Broken Egg Cafe","This breakfast-lunch chain leans on its cozy French country ambiance, foodie-friendly breakfast and brunch dishes and $13.50 average check to set it apart. The menu balances indulgent items with healthier ones and offers cocktails, including a bloody Mary and mimosa. While many units are in high-end resorts and sports communities in the Southeast, the chain plans to debut its 50th restaurant this year with expansion into Memphis, Tenn. and the launch of its first university location.","Destin, Fla.",42900000,11,41,51.9,1300000,2015,"Yes"
"Mackenzie River Pizza","With its brick and log-cabin facades and rustic Western decor, Mackenzie River Pizza  restaurants project an image of Big Sky Country where the concept started. The chain has since expanded to Idaho, Washington, North Dakota and Indiana, and it’s grown beyond gourmet pizzas—which include both create-your-own and house specials. Now pastas, sandwiches and pub classics are on the bill of fare. Average check is $30, on par with similar casual-dining concepts.","Whitefish, Mont.",28400000,10.3,23,21.1,1400000,2015,"Yes"
"Pie Five Pizza Co.","While the beginning of 2016 was a bit of a rough spot for the DIY fast-casual pizza chain, Pie Five has proven to be the workhorse fueling parent Rave Restaurant Group’s growth. Low build-out, food and labor costs are driving the expansion—and helping Pie Five and sister concept, Pizza Inn, hit sales increases each consecutive quarter in 2015—possible in part due to synergistic efforts. Also driving the chain into this year’s top spot: Its efforts to add regional menu pizzas in different markets, a loyalty program with more than 600,000 members and continuous innovation efforts. It’s experimenting with delivery and beer taps, and is also considering drive-thrus.","The Colony, Texas",40028000,151.3,82,164.5,751000,2016,"Yes"
"Modern Market","Following a trademark dispute with another emerging fast casual, Modmarket switched its name to Modern Market in November. Co-founder Anthony Pigliacampo explained the change as a natural progression for the brand, which strives to be a modern-day market for healthful, clean foods. The farm-fresh chain has maintained its effort to be more than just a restaurant, striving to be a holistic brand that changes the way people eat—but for an affordable price point, around $10.","Golden, Colo.",3e+07,85.2,20,100,2e+06,2016,"No"
"SPIN! Neapolitan Pizza","The smallest fast-casual pizza concept on the list has a rep as a cool kid on the block. The bike-friendly chain leads group rides and offers 20% off pizza after the workout. Spin teams up with craft brewers for beer and gelato pairings and hosts sip-and-paint art sessions on its patios. It has zeroed in on millennials, opening units at Southern Methodist University in Dallas and University of Central Missouri in Warrensburg, Mo., and offering barrel wines, happy hours and small plates, while maintaining an average check of $12.","Kansas City, Mo.",2.6e+07,73.3,18,80,1860000,2016,"Yes"
"Snap Kitchen","Within the last year, the fast-growing chain known for grab-and-go meals made with dietary needs in mind has brought in a new CEO and others players to the executive suite to expand the brand beyond its startup roots. Under the new leadership, and fueled by an investment from private-equity firm L Catterton in March, the chain pushed outside of its home state into both Chicago and Philadelphia, with more growth planned for this year.","Austin, Texas",34100000,73.1,35,78.9,1285000,2016,"No"
"The Brass Tap","With this upscale beer bar, breadth is key. Offering up to 80 craft beers on tap and an expansive selection of wines and cigars, The Brass Tap is aiming to be a one-size-fits-all establishment, teetering the lines of craft brewhouse, sports bar and live music venue. Self-serve beer taps and high-definition TVs underline the casual vibe of the franchise. Food is not the focus of this chain. The Brass Tap did not build kitchens into the original units, although the chain has since added quick and simple bar bites and menu items.","Tampa, Fla.",28300000,88.7,30,76.5,1205000,2016,"Yes"
